accessibility,accreditation,address,capacity,case_types,city,email,fees,founding_date,hours,id,languages,name,notes,phone,postal_code,referral_contacts,region,regions_served,reviews,source,specialty,staff,type,wait_time,website
wheelchair_accessible,Belgian federal government,Boulevard Clovis 114,2500,civic_education | integration_planning | language_assessment,Bruxelles,info@ante.be,free,2003,09:00-17:00 Mon-Fri,ante_001,nl | fr | en,ANTE - Federal Centre for Integration and Active Citizenship,National integration coordination,+32 (0)2 514 50 00,1000,info@ante.be,Bruxelles,Bruxelles | Flandre | Wallonie,,official,integration_policy | language_training | civic_education,140,government_agency,,https://www.ante.be
wheelchair_accessible,International Amnesty International,Rue de Trèves 61,1000,advocacy | policy_input | awareness,Bruxelles,contact@amnesty.be,free,1961,09:00-17:00 Mon-Fri,amnesty_001,fr | nl | en,Amnesty International Belgium,International human rights organization,+32 (0)2 732 62 62,1040,contact@amnesty.be,Bruxelles,Bruxelles | Flandre | Wallonie,,ngo,human_rights_advocacy | campaigns | research,85,ngo,,https://www.amnesty.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association,Rue Archimède 89,accepting_clients,Insurance claims | Liability disputes | Coverage disputes,,anita.rossi@avocats.be,"{'consultation': 145, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW020,French | English | Italian,Anita Rossi,Insurance industry specialist,+32 2 790 3456,1200,"{'name': 'Insurance Federation', 'relationship': 'Member'}",Brussels,Brussels | Wallonia,"{'rating': 4.5, 'count': 32, 'source': 'Professional Directory'}",Insurance Professional Network,Insurance Law | Claims Handling | Liability,1,individual,2 weeks,
wheelchair_accessible,Flemish health authority,Falconplein 20,900,general_practice | sexual_health | harm_reduction,Antwerp,info@achc-antwerpen.be,free/sliding_scale,2003,"08:00-18:00 Mon-Fri, 10:00-14:00 Sat",antwerp_health_001,nl | fr | en | ar | am,Antwerp Community Health Centre,Comprehensive health services,+32 (0)3 213 80 80,2000,info@achc-antwerpen.be,Flandre,Flandre,,ngo,primary_healthcare | sexual_health | addiction_support,68,healthcare_center,,https://www.achc-antwerpen.be
wheelchair_accessible,Flemish education authority,Groenplaats 25,1000,dutch_for_migrants | professional_dutch | cultural_orientation,Antwerp,info@ala-antwerpen.be,free/subsidized,2002,"09:00-20:00 Mon-Fri, 10:00-14:00 Sat",lang_ant_001,nl | en | fr,Antwerp Language Academy,Integration language programs,+32 (0)3 213 50 50,2000,info@ala-antwerpen.be,Flandre,Flandre,,ngo,language_training | integration_classes | vocational_language,55,language_center,,https://www.ala-antwerpen.be
Wheelchair accessible,ISO 17025:2017,147 Sint-Antoniusstraat,35,Age Assessment | Health Screening | Medical Evaluation,Antwerp,assessment@antwerp-mena.be,Free,2016-03-15,Mon-Fri 08:00-17:00,MED_ANT_001,NL | AR | EN | TR,Antwerp MENA Medical Assessment Centre,Specialized MENA assessment with forensic capabilities,+32 3 555 0100,2000,Dr. Peter Vanderveken | Dr. Anja Wouters,Flandre,Flandre,,Antwerp Health Authority,Age Determination (MENA),8 Medical staff | 2 Interpreters | 1 Administrative,Medical Center,,https://antwerp-mena.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Antwerp Bar Association,Antwerpsekaai 67,accepting_clients,Shipping contracts | Port disputes | Maritime law,,shipping@antportlaw.be,"{'consultation': 175, 'initial_contact': 'Gratuit', 'payment_plans': True}",2006,"{'monday_friday': '08:00-17:00', 'saturday': None, 'sunday': None}",LAW037,English | Dutch | French,Antwerp Port & Shipping Law,Maritime law experts,+32 3 215 4567,2000,"{'name': 'Port Authority Antwerp', 'relationship': 'Professional'}",Flanders,Flanders | EU,"{'rating': 4.5, 'count': 37, 'source': 'Google'}",Port Authority,Maritime Law | Shipping | Port Operations,9,firm,2-3 weeks,https://www.antportlaw.be
Wheelchair accessible,Flandre Employment Services,147 Falconplein,35,Job Training | Apprenticeships | Job Matching,Antwerp,employment@antwerp-hub.be,Free,2014-03-10,Mon-Fri 08:00-17:00,EMPL_ANT_001,NL | FR | AR | EN,Antwerp Youth Employment & Training Hub,Apprenticeship and job placement programs for vulnerable youth,+32 3 555 0300,2000,Hub Manager Patricia Van der Linden | Training Coordinator Hassan Omar,Flandre,Flandre,,Antwerp Employment Services,Youth Employment & Vocational Training,4 Training coordinators | 2 Job coaches,Employment Centre,,https://antwerp-hub.be
Wheelchair accessible,"Belgian Psychology Association, ISO 17025:2017",147 Avenue de la Toison d'Or,25,IQ Testing | Learning Disability Assessment | Personality Assessment,Bruxelles,assessment@psytest-brussels.be,Free for referrals,2014-02-10,Mon-Fri 09:00-17:00,PSY_BXL_001,FR | NL | AR | EN,Assessment & Testing Centre Brussels,Conducts comprehensive psycho-educational evaluations for youth,+32 2 555 0600,1050,Dr. Paul Leclerc | Psychologist Marie Fontaine,Bruxelles,Bruxelles,,Brussels Education Ministry,Psychological Assessment & Testing,6 Psychologists | 2 Neuropsychologists | 1 Educational specialist,Psychological Centre,,https://psytest-brussels.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | Court Certified,Boulevard Adolphe Max 22,accepting_clients,Criminal defense | Administrative appeals | Litigation,,brussels@avocat.be,"{'consultation': 180, 'initial_contact': 'Gratuit', 'payment_plans': True}",2005,"{'monday_friday': '08:30-18:30', 'saturday': '10:00-14:00', 'sunday': None}",LAW003,French | English | Dutch | German,Avocat.be - Brussels Office,24/7 emergency legal services available,+32 2 547 3322,1000,"{'name': ""Attorney General's Office"", 'relationship': 'Professional'}",Brussels,Brussels | Wallonia | Flanders,"{'rating': 4.5, 'count': 73, 'source': 'Google'}",Professional Registry,Criminal Law | Administrative Law | Civil Litigation,25,firm,1 week,https://www.avocat.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Bruges Bar Association,Steenstraat 23,accepting_clients,Tourism | Hospitality | Commerce,,commercial@brugeslaw.be,"{'consultation': 140, 'initial_contact': 'Gratuit', 'payment_plans': True}",2012,"{'monday_friday': '09:00-17:30', 'saturday': None, 'sunday': None}",LAW015,Dutch | English | French | German,Bruges Commercial Attorneys,Tourism sector specialists,+32 50 343 2121,8000,"{'name': 'Bruges Tourism Board', 'relationship': 'Member'}",Flanders,Flanders,"{'rating': 4.3, 'count': 41, 'source': 'Google'}",Chamber of Commerce,Tourism Law | Commercial Contracts | Business Licensing,5,firm,2 weeks,https://www.brugeslaw.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Bruges Bar Association | International Law Certified,Markt 12,accepting_clients,International disputes | Cross-border litigation | EU matters,,international@brugesint.be,"{'consultation': 180, 'initial_contact': 'Gratuit', 'payment_plans': True}",2005,"{'monday_friday': '08:30-18:00', 'saturday': None, 'sunday': None}",LAW027,English | Dutch | French | German | Spanish,Bruges International Law,EU and international law expertise,+32 50 447 2121,8000,"{'name': 'EU Legal Network', 'relationship': 'Member'}",Flanders,Flanders | EU,"{'rating': 4.7, 'count': 61, 'source': 'Google'}",EU Professional Network,International Law | Cross-Border Disputes | EU Law,12,firm,2 weeks,https://www.brugesint.be
